Datum tenaamstelling,Brandstof omschrijving,Kenteken
2001-10-09,Benzine,3590
2001-10-10,Benzine,3594
2001-10-11,Benzine,3595
2001-10-12,Benzine,3602
2001-10-15,Benzine,3603
2001-10-16,Benzine,3605
2001-10-17,Benzine,3607
2001-10-18,Benzine,3609
2001-10-19,Benzine,3615
2001-10-19,Diesel,505
2001-10-20,Benzine,3616
2001-10-22,Benzine,3619
2001-10-23,Benzine,3621
2001-10-23,Diesel,506
2001-10-24,Diesel,507
2001-10-24,Benzine,3626
2001-10-25,Benzine,3628
2001-10-26,Diesel,508
2001-10-26,Benzine,3635
2001-10-27,Diesel,509
2001-10-27,Benzine,3637
2001-10-29,Benzine,3639
2001-10-29,Diesel,510
2001-10-30,Benzine,3645
2001-10-30,Diesel,512
2001-10-31,Benzine,3653
2001-11-01,Benzine,3655
2001-11-02,Benzine,3659
2001-11-03,Benzine,3664
2001-11-05,Benzine,3669
2001-11-05,Diesel,513
2001-11-06,Diesel,514
2001-11-07,Benzine,3672
2001-11-09,Benzine,3677
2001-11-10,Benzine,3679
2001-11-13,Benzine,3680
2001-11-13,Diesel,515
2001-11-14,Diesel,516
2001-11-14,Benzine,3683
2001-11-15,Benzine,3687
2001-11-16,Benzine,3692
2001-11-17,LPG,109
2001-11-17,Diesel,517
2001-11-19,Benzine,3694
2001-11-20,Benzine,3695
2001-11-21,Benzine,3697
2001-11-22,Benzine,3699
2001-11-22,Diesel,518
2001-11-23,Benzine,3706
2001-11-23,Diesel,521
2001-11-24,Benzine,3707
2001-11-26,Benzine,3708
2001-11-26,LPG,110
2001-11-27,Benzine,3709
2001-11-28,Benzine,3711
2001-11-29,Diesel,522
2001-11-29,Benzine,3714
2001-11-30,Diesel,523
2001-11-30,Benzine,3716
2001-12-03,Benzine,3717
2001-12-04,Benzine,3718
2001-12-06,Benzine,3719
2001-12-06,LPG,111
2001-12-07,Benzine,3724
2001-12-07,Diesel,524
2001-12-08,Benzine,3727
2001-12-11,Benzine,3730
2001-12-12,Benzine,3732
2001-12-12,Diesel,525
2001-12-13,Benzine,3734
2001-12-13,Diesel,527
2001-12-14,Benzine,3735
2001-12-19,Benzine,3737
2001-12-20,Benzine,3740
2001-12-20,LPG,112
2001-12-21,Benzine,3744
2001-12-24,Benzine,3745
2001-12-27,Benzine,3746
2001-12-28,Diesel,528
2001-12-28,Benzine,3749
2001-12-29,Benzine,3750
2001-12-31,Benzine,3751
2002-01-02,Diesel,529
2002-01-02,Benzine,3754
2002-01-03,Benzine,3760
2002-01-04,Benzine,3762
2002-01-05,Benzine,3765
2002-01-07,Benzine,3767
2002-01-07,Diesel,530
2002-01-08,Benzine,3771
2002-01-09,Benzine,3775
2002-01-10,Benzine,3779
2002-01-10,Diesel,531
2002-01-11,Benzine,3788
2002-01-11,Diesel,532
2002-01-12,Benzine,3790
2002-01-14,Benzine,3794
2002-01-15,Benzine,3796
2002-01-16,Benzine,3800
2002-01-16,Diesel,533
2002-01-17,Benzine,3803
2002-01-18,Benzine,3810
2002-01-19,Benzine,3812
2002-01-21,Benzine,3813
2002-01-22,Benzine,3815
2002-01-22,Diesel,534
2002-01-23,Benzine,3816
2002-01-24,Benzine,3819
2002-01-25,Benzine,3823
2002-01-26,Benzine,3824
2002-01-28,Diesel,535
2002-01-28,Benzine,3825
2002-01-29,Benzine,3829
2002-01-30,Benzine,3836
2002-01-30,Diesel,536
2002-01-31,Benzine,3848
2002-02-01,Benzine,3853
2002-02-02,Benzine,3856
2002-02-04,Benzine,3859
2002-02-04,Diesel,537
2002-02-05,Diesel,541
2002-02-05,Benzine,3862
2002-02-06,Benzine,3867
2002-02-07,Benzine,3870
2002-02-08,Benzine,3875
2002-02-08,Diesel,543
2002-02-09,Benzine,3876
2002-02-11,Diesel,544
2002-02-11,Benzine,3878
2002-02-12,Benzine,3880
2002-02-13,Benzine,3883
2002-02-14,Benzine,3888
2002-02-15,Diesel,546
2002-02-15,Benzine,3896
