Datum tenaamstelling,Brandstof omschrijving,Kenteken
1991-10-16,Benzine,1069
1991-10-18,Benzine,1070
1991-10-22,Benzine,1071
1991-10-23,Benzine,1072
1991-10-24,Benzine,1073
1991-10-29,Benzine,1074
1991-10-30,Benzine,1076
1991-10-31,Benzine,1077
1991-11-01,Diesel,42
1991-11-04,Benzine,1078
1991-11-05,Benzine,1079
1991-11-06,Benzine,1081
1991-11-11,Benzine,1082
1991-11-12,Benzine,1084
1991-11-12,LPG,24
1991-11-14,Benzine,1086
1991-11-22,Benzine,1087
1991-11-25,Benzine,1088
1991-11-27,Benzine,1089
1991-11-29,Benzine,1091
1991-12-04,Benzine,1092
1991-12-05,Benzine,1093
1991-12-06,Benzine,1094
1991-12-10,Benzine,1095
1991-12-11,Benzine,1096
1991-12-12,Benzine,1098
1991-12-23,Diesel,43
1991-12-31,Benzine,1099
1992-01-02,Diesel,44
1992-01-03,LPG,25
1992-01-03,Benzine,1101
1992-01-06,Benzine,1103
1992-01-10,Benzine,1104
