Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
2017-07-28,1035,1035,1035,1035,1035
2017-07-29,386,386,386,386,386
2017-07-30,10,10,10,10,10
2017-07-31,702,702,702,702,702
2017-08-01,589,589,589,589,589
2017-08-02,611,611,611,611,611
2017-08-03,685,685,685,685,685
2017-08-04,867,867,867,867,866
2017-08-05,347,347,347,347,347
2017-08-06,12,12,12,12,12
2017-08-07,533,533,533,533,532
2017-08-08,514,514,514,514,514
2017-08-09,584,584,584,584,584
2017-08-10,691,691,691,691,691
2017-08-11,818,818,818,818,818
2017-08-12,330,330,330,330,330
2017-08-13,5,5,5,5,5
2017-08-14,622,622,622,622,622
2017-08-15,574,574,574,574,574
2017-08-16,552,552,552,552,551
2017-08-17,667,667,667,667,667
2017-08-18,990,990,990,990,990
2017-08-19,349,349,349,349,349
2017-08-20,12,12,12,12,12
2017-08-21,588,588,588,588,587
2017-08-22,613,613,613,613,613
2017-08-23,662,662,662,662,662
2017-08-24,731,731,731,731,731
2017-08-25,1081,1081,1081,1081,1081
2017-08-26,374,374,374,374,374
2017-08-27,7,7,7,7,7
2017-08-28,618,618,618,618,618
2017-08-29,607,607,607,607,607
2017-08-30,739,739,739,739,739
2017-08-31,1065,1065,1065,1065,1065
2017-09-01,1022,1022,1022,1022,1022
2017-09-02,401,401,401,401,400
2017-09-03,9,9,9,9,9
2017-09-04,592,592,592,592,592
2017-09-05,580,580,580,580,580
2017-09-06,632,632,632,632,632
2017-09-07,778,778,778,778,778
2017-09-08,1009,1009,1009,1009,1008
2017-09-09,415,415,415,415,415
2017-09-10,15,15,15,15,15
2017-09-11,622,622,622,622,622
2017-09-12,558,558,558,558,558
2017-09-13,680,680,680,680,680
2017-09-14,822,822,822,822,821
2017-09-15,1026,1026,1026,1026,1026
2017-09-16,461,461,461,461,461
2017-09-17,16,16,16,16,16
2017-09-18,643,643,643,643,643
2017-09-19,623,623,623,623,623
2017-09-20,717,717,717,717,717
2017-09-21,831,831,831,831,830
2017-09-22,1031,1031,1031,1031,1030
2017-09-23,451,451,451,451,451
2017-09-24,14,14,14,14,14
2017-09-25,721,721,721,721,721
2017-09-26,730,730,730,730,730
2017-09-27,771,771,771,771,770
2017-09-28,993,993,993,993,992
2017-09-29,1712,1712,1712,1712,1711
2017-09-30,593,593,593,593,593
2017-10-01,17,17,17,17,17
2017-10-02,695,695,695,695,695
2017-10-03,638,638,638,638,638
2017-10-04,654,654,654,654,654
2017-10-05,879,879,879,879,879
2017-10-06,1164,1164,1164,1164,1164
2017-10-07,507,507,507,507,507
2017-10-08,17,17,17,17,17
2017-10-09,610,610,610,610,610
2017-10-10,667,667,667,667,667
2017-10-11,781,781,781,781,781
2017-10-12,859,859,859,859,859
2017-10-13,1175,1175,1175,1175,1175
2017-10-14,498,498,498,498,498
2017-10-15,10,10,10,10,10
2017-10-16,646,646,646,646,646
2017-10-17,735,735,735,735,734
2017-10-18,817,817,817,817,817
2017-10-19,852,852,852,852,852
2017-10-20,1219,1219,1219,1219,1219
2017-10-21,474,474,474,474,474
2017-10-22,22,22,22,22,22
2017-10-23,704,704,704,704,704
2017-10-24,677,677,677,677,677
2017-10-25,770,770,770,770,770
2017-10-26,916,916,916,916,916
2017-10-27,1262,1262,1262,1262,1262
2017-10-28,547,547,547,547,547
2017-10-29,19,19,19,19,19
2017-10-30,767,767,767,767,767
2017-10-31,1091,1091,1091,1091,1091
2017-11-01,819,819,819,819,819
2017-11-02,817,817,817,817,817
2017-11-03,1203,1203,1203,1203,1203
2017-11-04,530,530,530,530,530
2017-11-05,15,15,15,15,15
2017-11-06,665,665,665,665,665
2017-11-07,689,689,689,689,687
2017-11-08,730,730,730,730,730
2017-11-09,856,856,856,856,855
2017-11-10,1276,1276,1276,1276,1276
2017-11-11,529,529,529,529,529
2017-11-12,10,10,10,10,10
2017-11-13,683,683,683,683,681
2017-11-14,800,800,800,800,800
2017-11-15,929,929,929,929,928
2017-11-16,868,868,868,868,868
2017-11-17,1243,1243,1243,1243,1243
2017-11-18,528,528,528,528,528
2017-11-19,14,14,14,14,14
2017-11-20,603,603,603,603,603
2017-11-21,704,704,704,704,704
2017-11-22,700,700,700,700,700
2017-11-23,812,812,812,812,811
2017-11-24,1271,1271,1271,1271,1271
2017-11-25,505,505,505,505,505
2017-11-26,18,18,18,18,18
2017-11-27,662,662,662,662,662
2017-11-28,739,739,739,739,739
2017-11-29,863,863,863,863,863
2017-11-30,1362,1362,1362,1362,1362
2017-12-01,1112,1112,1112,1112,1112
2017-12-02,545,545,545,545,545
2017-12-03,20,20,20,20,20
2017-12-04,538,538,538,538,537
2017-12-05,529,529,529,529,529
2017-12-06,672,672,672,672,672
2017-12-07,719,719,719,719,718
2017-12-08,1076,1076,1076,1076,1076
2017-12-09,557,557,557,557,557
2017-12-10,6,6,6,6,6
2017-12-11,467,467,467,467,466
2017-12-12,573,573,573,573,573
2017-12-13,623,623,623,623,623
2017-12-14,709,709,709,709,709
2017-12-15,1030,1030,1030,1030,1030
2017-12-16,562,562,562,562,562
2017-12-17,23,23,23,23,23
2017-12-18,545,545,545,545,545
2017-12-19,682,682,682,682,682
2017-12-20,786,786,786,786,786
2017-12-21,830,830,830,830,830
