Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
2015-05-08,1,1,1,1,1
2015-05-11,1,1,1,1,1
2015-05-15,2,2,2,2,2
2015-05-20,2,2,2,2,2
2015-05-21,1,1,1,1,1
2015-05-29,1,1,1,1,1
2015-06-02,1,1,1,1,1
2015-06-05,2,2,2,2,2
2015-06-25,2,2,2,2,2
2015-06-26,3,3,3,3,3
2015-07-03,1,1,1,1,1
2015-07-10,1,1,1,1,1
2015-07-13,1,1,1,1,1
2015-07-16,1,1,1,1,1
2015-07-17,1,1,1,1,1
2015-07-24,2,2,2,2,2
2015-08-01,1,1,1,1,1
2015-08-03,1,1,1,1,1
2015-08-06,1,1,1,1,1
2015-08-07,1,1,1,1,1
2015-08-20,1,1,1,1,1
2015-08-29,1,1,1,1,1
2015-09-02,1,1,1,1,1
2015-09-04,1,1,1,1,1
2015-09-08,1,1,1,1,1
2015-09-09,1,1,1,1,1
2015-09-17,3,3,3,3,3
2015-09-25,1,1,1,1,1
2015-09-26,1,1,1,1,1
2015-09-30,1,1,1,1,1
2015-10-02,2,2,2,2,2
2015-10-05,1,1,1,1,1
2015-10-10,1,1,1,1,1
2015-10-12,1,1,1,1,1
2015-10-14,1,1,1,1,1
2015-10-16,1,1,1,1,1
2015-10-23,1,1,1,1,1
2015-10-31,3,3,3,3,3
2015-11-05,1,1,1,1,1
2015-11-07,1,1,1,1,1
2015-11-19,1,1,1,1,1
2015-11-24,1,1,1,1,1
2015-11-27,2,2,2,2,2
2015-12-04,2,2,2,2,2
2015-12-10,1,1,1,1,1
2015-12-22,1,1,1,1,1
2015-12-31,1,1,1,1,1
2016-01-02,1,1,1,1,1
2016-01-03,1,1,1,1,1
2016-01-07,1,1,1,1,1
2016-01-08,2,2,2,2,2
2016-01-15,1,1,1,1,1
2016-01-19,1,1,1,1,1
2016-01-23,1,1,1,1,1
2016-01-27,1,1,1,1,1
2016-02-01,1,1,1,1,1
2016-02-06,2,2,2,2,2
2016-02-08,1,1,1,1,1
2016-02-09,1,1,1,1,1
2016-02-13,1,1,1,1,1
2016-02-18,1,1,1,1,1
2016-02-19,1,1,1,1,1
2016-02-20,1,1,1,1,1
2016-02-26,2,2,2,2,2
2016-02-29,1,1,1,1,1
2016-03-02,1,1,1,1,1
2016-03-03,2,2,2,2,2
2016-03-04,1,1,1,1,1
2016-03-07,1,1,1,1,1
2016-03-10,1,1,1,1,1
2016-03-11,1,1,1,1,1
2016-03-17,1,1,1,1,1
2016-03-21,1,1,1,1,1
2016-03-23,1,1,1,1,1
2016-03-25,1,1,1,1,1
2016-03-30,1,1,1,1,1
2016-04-08,1,1,1,1,1
2016-04-12,2,2,2,2,2
2016-04-14,2,2,2,2,2
2016-04-15,1,1,1,1,1
2016-04-16,1,1,1,1,1
2016-04-20,2,2,2,2,2
2016-04-23,1,1,1,1,1
2016-04-28,1,1,1,1,1
2016-05-04,1,1,1,1,1
2016-05-12,1,1,1,1,1
2016-05-18,2,2,2,2,2
2016-05-23,2,2,2,2,2
2016-05-25,1,1,1,1,1
2016-05-27,2,2,2,2,2
2016-05-31,1,1,1,1,1
2016-06-01,4,4,4,4,4
2016-06-04,1,1,1,1,1
2016-06-11,1,1,1,1,1
2016-06-14,1,1,1,1,1
2016-06-15,1,1,1,1,1
2016-06-18,2,2,2,2,2
2016-06-21,1,1,1,1,1
2016-06-22,1,1,1,1,1
2016-06-25,2,2,2,2,2
2016-07-02,1,1,1,1,1
2016-07-04,2,2,2,2,2
2016-07-05,1,1,1,1,1
2016-07-08,1,1,1,1,1
2016-07-11,1,1,1,1,1
2016-07-19,1,1,1,1,1
2016-07-21,2,2,2,2,2
2016-07-26,1,1,1,1,1
2016-07-29,1,1,1,1,1
2016-08-02,1,1,1,1,1
2016-08-05,2,2,2,2,2
2016-08-09,1,1,1,1,1
2016-08-11,1,1,1,1,1
2016-08-16,1,1,1,1,1
2016-08-18,1,1,1,1,1
2016-08-22,1,1,1,1,1
2016-08-26,1,1,1,1,1
2016-08-29,1,1,1,1,1
2016-08-31,2,2,2,2,2
2016-09-01,1,1,1,1,1
2016-09-02,1,1,1,1,1
2016-09-03,1,1,1,1,1
2016-09-06,1,1,1,1,1
2016-09-09,1,1,1,1,1
2016-09-21,3,3,3,3,3
2016-09-22,1,1,1,1,1
2016-09-30,1,1,1,1,1
2016-10-04,1,1,1,1,1
2016-10-05,1,1,1,1,1
2016-10-07,2,2,2,2,2
2016-10-11,2,2,2,2,2
2016-10-14,1,1,1,1,1
2016-10-20,2,2,2,2,2
2016-10-21,2,2,2,2,2
2016-10-27,2,2,2,2,2
2016-11-10,1,1,1,1,1
2016-11-11,1,1,1,1,1
2016-11-12,1,1,1,1,1
2016-11-13,1,1,1,1,1
2016-11-15,1,1,1,1,1
2016-11-18,1,1,1,1,1
2016-11-19,1,1,1,1,1
2016-11-22,1,1,1,1,1
2016-11-24,1,1,1,1,1
2016-11-25,2,2,2,2,2
2016-11-26,2,2,2,2,2
2016-11-28,1,1,1,1,1
2016-12-09,1,1,1,1,1
2016-12-14,2,2,2,2,2
2016-12-15,3,3,3,3,3
2016-12-22,1,1,1,1,1
2016-12-23,3,3,3,3,3
2016-12-27,1,1,1,1,1
2016-12-29,2,2,2,2,2
2016-12-30,2,2,2,2,2
2016-12-31,1,1,1,1,1
2017-01-02,1,1,1,1,1
2017-01-07,1,1,1,1,1
2017-01-11,1,1,1,1,1
2017-01-13,2,2,2,2,2
2017-01-14,1,1,1,1,1
2017-01-21,1,1,1,1,1
2017-01-24,1,1,1,1,1
2017-01-26,1,1,1,1,1
2017-01-27,2,2,2,2,2
2017-01-28,1,1,1,1,1
2017-01-30,1,1,1,1,1
2017-01-31,3,3,3,3,3
2017-02-01,1,1,1,1,1
2017-02-03,3,3,3,3,3
2017-02-04,2,2,2,2,2
2017-02-07,1,1,1,1,1
2017-02-10,1,1,1,1,1
2017-02-13,1,1,1,1,1
2017-02-16,2,2,2,2,2
2017-02-20,1,1,1,1,1
2017-02-22,1,1,1,1,1
2017-02-24,2,2,2,2,2
2017-02-27,1,1,1,1,1
2017-03-03,2,2,2,2,2
2017-03-04,1,1,1,1,1
2017-03-07,1,1,1,1,1
2017-03-10,1,1,1,1,1
2017-03-11,2,2,2,2,2
2017-03-15,3,3,3,3,3
2017-03-16,1,1,1,1,1
2017-03-25,1,1,1,1,1
2017-03-31,1,1,1,1,1
2017-04-01,1,1,1,1,1
2017-04-04,1,1,1,1,1
2017-04-06,2,2,2,2,2
2017-04-07,2,2,2,2,2
2017-04-08,1,1,1,1,1
2017-04-14,1,1,1,1,1
2017-04-21,1,1,1,1,1
2017-04-22,1,1,1,1,1
2017-04-24,2,2,2,2,2
2017-04-25,1,1,1,1,1
2017-04-29,1,1,1,1,1
2017-05-02,1,1,1,1,1
2017-05-03,1,1,1,1,1
2017-05-05,1,1,1,1,1
2017-05-09,1,1,1,1,1
2017-05-10,1,1,1,1,1
2017-05-16,1,1,1,1,1
2017-05-17,2,2,2,2,2
2017-05-23,1,1,1,1,1
2017-05-24,1,1,1,1,1
2017-05-26,2,2,2,2,2
2017-05-31,1,1,1,1,1
2017-06-07,1,1,1,1,1
2017-06-08,1,1,1,1,1
2017-06-09,2,2,2,2,2
2017-06-10,1,1,1,1,1
2017-06-12,2,2,2,2,2
2017-06-13,1,1,1,1,1
2017-06-15,1,1,1,1,1
2017-06-16,1,1,1,1,1
2017-06-19,1,1,1,1,1
2017-06-21,1,1,1,1,1
2017-06-23,2,2,2,2,2
2017-06-26,1,1,1,1,1
2017-06-27,1,1,1,1,1
2017-06-28,1,1,1,1,1
2017-06-30,1,1,1,1,1
2017-07-01,2,2,2,2,2
2017-07-03,1,1,1,1,1
2017-07-05,1,1,1,1,1
2017-07-07,1,1,1,1,1
2017-07-11,2,2,2,2,2
2017-07-13,1,1,1,1,1
2017-07-14,2,2,2,2,2
2017-07-15,3,3,3,3,3
2017-07-17,1,1,1,1,1
2017-07-19,1,1,1,1,1
2017-07-22,1,1,1,1,1
2017-07-25,1,1,1,1,1
2017-07-27,1,1,1,1,1
2017-07-28,1,1,1,1,1
2017-07-29,1,1,1,1,1
2017-08-01,1,1,1,1,1
2017-08-04,2,2,2,2,2
2017-08-05,2,2,2,2,2
2017-08-11,2,2,2,2,2
2017-08-17,1,1,1,1,1
2017-08-21,1,1,1,1,1
2017-08-22,1,1,1,1,1
2017-08-24,1,1,1,1,1
2017-08-29,1,1,1,1,1
2017-09-08,1,1,1,1,1
2017-09-11,2,2,2,2,2
2017-09-14,1,1,1,1,1
2017-09-15,1,1,1,1,1
2017-09-16,1,1,1,1,1
2017-09-18,2,2,2,2,2
2017-09-19,1,1,1,1,1
2017-09-20,1,1,1,1,1
2017-09-25,1,1,1,1,1
2017-09-27,1,1,1,1,1
2017-09-28,1,1,1,1,1
2017-10-05,1,1,1,1,1
2017-10-07,3,3,3,3,3
2017-10-09,1,1,1,1,1
2017-10-11,1,1,1,1,1
2017-10-14,1,1,1,1,1
2017-10-20,2,2,2,2,2
2017-10-26,2,2,2,2,2
2017-10-27,1,1,1,1,1
2017-11-01,1,1,1,1,1
2017-11-04,1,1,1,1,1
2017-11-09,2,2,2,2,2
2017-11-10,1,1,1,1,1
2017-11-15,2,2,2,2,2
2017-11-17,1,1,1,1,1
2017-11-20,1,1,1,1,1
2017-11-23,1,1,1,1,1
2017-11-24,2,2,2,2,2
2017-11-25,2,2,2,2,2
2017-12-01,2,2,2,2,2
2017-12-05,1,1,1,1,1
2017-12-08,2,2,2,2,2
2017-12-09,1,1,1,1,1
2017-12-12,1,1,1,1,1
2017-12-16,1,1,1,1,1
2017-12-18,1,1,1,1,1
2017-12-22,1,1,1,1,1
2017-12-23,1,1,1,1,1
2017-12-27,1,1,1,1,1
2017-12-28,2,2,2,2,2
2017-12-30,2,2,2,2,2
2018-01-02,2,2,2,2,2
2018-01-03,1,1,1,1,1
2018-01-05,1,1,1,1,1
2018-01-06,1,1,1,1,1
2018-01-11,1,1,1,1,1
2018-01-12,2,2,2,2,2
2018-01-13,1,1,1,1,1
2018-01-19,4,4,4,4,4
2018-01-20,1,1,1,1,1
2018-01-22,1,1,1,1,1
2018-01-23,1,1,1,1,1
2018-01-25,1,1,1,1,1
2018-01-26,1,1,1,1,1
2018-01-27,2,2,2,2,2
2018-02-01,2,2,2,2,2
2018-02-02,2,2,2,2,2
2018-02-03,1,1,1,1,1
2018-02-05,1,1,1,1,1
2018-02-07,1,1,1,1,1
2018-02-10,2,2,2,2,2
2018-02-12,1,1,1,1,1
2018-02-14,1,1,1,1,1
2018-02-15,1,1,1,1,1
2018-02-16,2,2,2,2,2
2018-02-23,1,1,1,1,1
2018-02-24,2,2,2,2,2
2018-03-01,2,2,2,2,2
2018-03-02,1,1,1,1,1
2018-03-10,3,3,3,3,3
2018-03-12,1,1,1,1,1
2018-03-14,2,2,2,2,2
2018-03-15,1,1,1,1,1
2018-03-16,3,3,3,3,3
2018-03-18,1,1,1,1,1
2018-03-20,1,1,1,1,1
2018-03-22,1,1,1,1,1
2018-03-23,2,2,2,2,2
2018-03-27,1,1,1,1,1
2018-03-30,3,3,3,3,3
2018-04-03,1,1,1,1,1
2018-04-06,1,1,1,1,1
2018-04-07,1,1,1,1,1
2018-04-10,1,1,1,1,1
2018-04-12,2,2,2,2,2
2018-04-14,2,2,2,2,2
2018-04-17,1,1,1,1,1
2018-04-19,2,2,2,2,2
2018-04-20,1,1,1,1,1
2018-04-23,1,1,1,1,1
2018-05-01,2,2,2,2,2
2018-05-02,1,1,1,1,1
2018-05-08,1,1,1,1,1
2018-05-09,2,2,2,2,2
2018-05-10,1,1,1,1,1
2018-05-12,1,1,1,1,1
2018-05-15,1,1,1,1,1
2018-05-18,2,2,2,2,2
2018-05-19,1,1,1,1,1
2018-05-29,1,1,1,1,1
2018-05-31,1,1,1,1,1
2018-06-01,1,1,1,1,1
2018-06-02,2,2,2,2,2
2018-06-04,1,1,1,1,1
2018-06-06,1,1,1,1,1
2018-06-09,2,2,2,2,2
2018-06-11,1,1,1,1,1
2018-06-13,2,2,2,2,2
2018-06-15,2,2,2,2,2
2018-06-20,1,1,1,1,1
2018-06-21,1,1,1,1,1
2018-06-22,2,2,2,2,2
2018-06-23,1,1,1,1,1
2018-06-26,2,2,2,2,2
2018-06-27,4,4,4,4,4
2018-06-29,3,3,3,3,3
2018-06-30,1,1,1,1,1
2018-07-02,1,1,1,1,1
2018-07-06,2,2,2,2,2
2018-07-07,1,1,1,1,1
2018-07-09,1,1,1,1,1
2018-07-10,1,1,1,1,1
2018-07-12,2,2,2,2,2
2018-07-13,1,1,1,1,1
2018-07-14,1,1,1,1,1
2018-07-16,1,1,1,1,1
2018-07-19,1,1,1,1,1
2018-07-20,4,4,4,4,4
2018-07-21,1,1,1,1,1
2018-07-23,1,1,1,1,1
2018-07-30,1,1,1,1,1
2018-08-02,3,3,3,3,3
2018-08-03,3,3,3,3,3
2018-08-04,2,2,2,2,2
2018-08-06,1,1,1,1,1
2018-08-08,2,2,2,2,2
2018-08-10,1,1,1,1,1
2018-08-13,1,1,1,1,1
2018-08-15,1,1,1,1,1
2018-08-16,1,1,1,1,1
2018-08-18,3,3,3,3,3
2018-08-21,1,1,1,1,1
