Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
2012-07-05,1,1,1,1,1
2012-07-09,2,2,2,2,2
2012-07-17,2,2,2,2,2
2012-07-24,1,1,1,1,1
2012-07-26,1,1,1,1,1
2012-07-27,2,2,2,2,2
2012-07-31,1,1,1,1,1
2012-08-01,1,1,1,1,1
2012-08-15,2,2,2,2,2
2012-08-24,2,2,2,2,2
2012-08-27,3,3,3,3,3
2012-08-30,1,1,1,1,1
2012-08-31,1,1,1,1,1
2012-09-01,1,1,1,1,1
2012-09-03,1,1,1,1,1
2012-09-04,2,2,2,2,2
2012-09-06,1,1,1,1,1
2012-09-13,1,1,1,1,1
2012-09-14,3,3,3,3,3
2012-09-25,1,1,1,1,1
2012-09-27,2,2,2,2,2
2012-10-04,1,1,1,1,1
2012-10-10,1,1,1,1,1
2012-10-11,1,1,1,1,1
2012-10-17,1,1,1,1,1
2012-10-18,1,1,1,1,1
2012-10-26,1,1,1,1,1
2012-10-29,1,1,1,1,1
2012-10-31,2,2,2,2,2
2012-11-01,1,1,1,1,1
2012-11-05,1,1,1,1,1
2012-11-06,3,3,3,3,3
2012-11-09,1,1,1,1,1
2012-11-10,1,1,1,1,1
2012-11-12,4,4,4,4,4
2012-11-13,2,2,2,2,2
2012-11-14,1,1,1,1,1
2012-11-15,1,1,1,1,1
2012-11-20,1,1,1,1,1
2012-11-22,1,1,1,1,1
2012-12-07,1,1,1,1,1
2012-12-11,3,3,3,3,3
2012-12-13,1,1,1,1,1
2012-12-14,1,1,1,1,1
2012-12-20,2,2,2,2,2
2012-12-21,1,1,1,1,1
2012-12-27,1,1,1,1,1
2012-12-28,1,1,1,1,1
2012-12-31,1,1,1,1,1
2013-01-04,7,7,7,7,7
2013-01-07,1,1,1,1,1
2013-01-10,1,1,1,1,1
2013-01-14,5,5,5,5,5
2013-01-16,1,1,1,1,1
2013-01-22,1,1,1,1,1
2013-01-24,1,1,1,1,1
2013-01-28,6,6,6,6,6
2013-01-29,1,1,1,1,1
2013-02-04,1,1,1,1,1
2013-02-07,1,1,1,1,1
2013-02-15,2,2,2,2,2
2013-02-18,5,5,5,5,5
2013-02-20,1,1,1,1,1
2013-02-21,2,2,2,2,2
2013-02-22,2,2,2,2,2
2013-02-25,1,1,1,1,1
2013-02-26,1,1,1,1,1
2013-02-28,4,4,4,4,4
2013-03-01,4,4,4,4,4
2013-03-04,1,1,1,1,1
2013-03-06,3,3,3,3,3
2013-03-07,3,3,3,3,3
2013-03-08,1,1,1,1,1
2013-03-09,1,1,1,1,1
2013-03-12,1,1,1,1,1
2013-03-19,1,1,1,1,1
2013-03-20,1,1,1,1,1
2013-03-21,1,1,1,1,1
2013-03-26,2,2,2,2,2
2013-04-02,4,4,4,4,4
2013-04-03,1,1,1,1,1
2013-04-18,1,1,1,1,1
2013-04-19,4,4,4,4,4
2013-04-20,1,1,1,1,1
2013-04-22,1,1,1,1,1
2013-04-24,1,1,1,1,1
2013-04-29,1,1,1,1,1
2013-05-01,1,1,1,1,1
2013-05-02,2,2,2,2,2
2013-05-03,1,1,1,1,1
2013-05-08,1,1,1,1,1
2013-05-13,5,5,5,5,5
2013-05-16,1,1,1,1,1
2013-05-17,3,3,3,3,3
2013-05-21,8,8,8,8,8
2013-05-29,4,4,4,4,4
2013-06-05,1,1,1,1,1
2013-06-06,3,3,3,3,3
2013-06-07,1,1,1,1,1
2013-06-08,1,1,1,1,1
2013-06-11,4,4,4,4,4
2013-06-12,1,1,1,1,1
2013-06-13,5,5,5,5,5
2013-06-14,4,4,4,4,4
2013-06-17,1,1,1,1,1
2013-06-18,1,1,1,1,1
2013-06-19,4,4,4,4,4
2013-06-22,1,1,1,1,1
2013-06-24,1,1,1,1,1
2013-06-25,1,1,1,1,1
2013-06-28,1,1,1,1,1
2013-07-02,1,1,1,1,1
2013-07-05,1,1,1,1,1
2013-07-09,1,1,1,1,1
2013-07-10,4,4,4,4,4
2013-07-12,3,3,3,3,3
2013-07-16,1,1,1,1,1
2013-07-17,4,4,4,4,4
2013-07-19,1,1,1,1,1
2013-07-23,1,1,1,1,1
2013-07-24,3,3,3,3,3
2013-07-26,1,1,1,1,1
2013-07-29,4,4,4,4,4
2013-07-30,1,1,1,1,1
2013-08-01,1,1,1,1,1
2013-08-02,1,1,1,1,1
2013-08-07,1,1,1,1,1
2013-08-14,4,4,4,4,4
2013-08-16,1,1,1,1,1
2013-08-19,1,1,1,1,1
2013-08-20,1,1,1,1,1
2013-08-21,1,1,1,1,1
2013-08-24,1,1,1,1,1
2013-08-27,1,1,1,1,1
2013-08-29,1,1,1,1,1
2013-09-02,1,1,1,1,1
2013-09-04,1,1,1,1,1
2013-09-05,1,1,1,1,1
2013-09-06,3,3,3,3,3
2013-09-09,1,1,1,1,1
2013-09-11,2,2,2,2,2
2013-09-12,6,6,6,6,6
2013-09-16,1,1,1,1,1
2013-09-17,1,1,1,1,1
2013-09-19,3,3,3,3,3
2013-09-20,1,1,1,1,1
2013-09-24,1,1,1,1,1
2013-09-30,2,2,2,2,2
2013-10-11,1,1,1,1,1
2013-10-15,5,5,5,5,5
2013-10-18,2,2,2,2,2
2013-10-19,1,1,1,1,1
2013-10-23,2,2,2,2,2
2013-10-24,1,1,1,1,1
2013-10-25,2,2,2,2,2
2013-10-29,1,1,1,1,1
2013-10-30,1,1,1,1,1
2013-11-05,1,1,1,1,1
2013-11-06,3,3,3,3,3
2013-11-11,1,1,1,1,1
2013-11-12,1,1,1,1,1
2013-11-15,1,1,1,1,1
2013-11-18,2,2,2,2,2
2013-11-19,2,2,2,2,2
2013-11-21,2,2,2,2,2
2013-11-28,1,1,1,1,1
2013-11-29,9,9,9,9,9
2013-11-30,2,2,2,2,2
2013-12-04,1,1,1,1,1
2013-12-09,1,1,1,1,1
2013-12-10,1,1,1,1,1
2013-12-11,1,1,1,1,1
2013-12-12,2,2,2,2,2
2013-12-13,1,1,1,1,1
2013-12-16,5,5,5,5,5
2013-12-17,1,1,1,1,1
2013-12-18,6,6,6,6,6
2013-12-19,2,2,2,2,2
2013-12-20,2,2,2,2,2
2013-12-21,1,1,1,1,1
2013-12-23,1,1,1,1,1
2013-12-24,8,8,8,8,8
2013-12-30,2,2,2,2,2
2013-12-31,2,2,2,2,2
2014-01-02,1,1,1,1,1
2014-01-03,1,1,1,1,1
2014-01-07,4,4,4,4,4
2014-01-09,1,1,1,1,1
2014-01-10,1,1,1,1,1
2014-01-13,3,3,3,3,3
2014-01-14,1,1,1,1,1
2014-01-16,1,1,1,1,1
2014-01-22,2,2,2,2,2
2014-01-24,1,1,1,1,1
2014-01-27,3,3,3,3,3
2014-01-28,1,1,1,1,1
2014-02-03,2,2,2,2,2
2014-02-06,4,4,4,4,4
2014-02-12,1,1,1,1,1
2014-02-13,4,4,4,4,4
2014-02-18,1,1,1,1,1
2014-02-19,1,1,1,1,1
2014-02-24,1,1,1,1,1
2014-02-25,1,1,1,1,1
2014-02-26,1,1,1,1,1
2014-02-28,1,1,1,1,1
2014-03-01,1,1,1,1,1
2014-03-03,1,1,1,1,1
2014-03-04,1,1,1,1,1
2014-03-08,1,1,1,1,1
2014-03-14,1,1,1,1,1
2014-03-15,2,2,2,2,2
2014-03-17,1,1,1,1,1
2014-03-18,1,1,1,1,1
2014-03-19,1,1,1,1,1
2014-03-20,1,1,1,1,1
2014-03-24,2,2,2,2,2
2014-03-26,2,2,2,2,2
2014-03-27,1,1,1,1,1
2014-03-28,1,1,1,1,1
2014-04-01,5,5,5,5,5
2014-04-02,3,3,3,3,3
2014-04-03,2,2,2,2,2
2014-04-04,4,4,4,4,4
2014-04-07,2,2,2,2,2
2014-04-09,3,3,3,3,3
2014-04-10,1,1,1,1,1
2014-04-11,1,1,1,1,1
2014-04-15,1,1,1,1,1
2014-04-16,1,1,1,1,1
2014-04-17,1,1,1,1,1
2014-04-18,1,1,1,1,1
2014-04-22,2,2,2,2,2
2014-04-24,3,3,3,3,3
2014-04-25,2,2,2,2,2
2014-04-29,2,2,2,2,2
2014-04-30,2,2,2,2,2
2014-05-02,1,1,1,1,1
2014-05-07,1,1,1,1,1
2014-05-08,2,2,2,2,2
2014-05-09,2,2,2,2,2
2014-05-12,2,2,2,2,2
2014-05-14,2,2,2,2,2
2014-05-15,1,1,1,1,1
2014-05-16,1,1,1,1,1
2014-05-17,1,1,1,1,1
2014-05-24,2,2,2,2,2
2014-06-02,1,1,1,1,1
2014-06-04,4,4,4,4,4
2014-06-06,2,2,2,2,2
2014-06-07,3,3,3,3,3
2014-06-12,1,1,1,1,1
2014-06-14,1,1,1,1,1
2014-06-17,1,1,1,1,1
2014-06-18,1,1,1,1,1
2014-06-19,2,2,2,2,2
2014-06-20,3,3,3,3,3
2014-06-26,2,2,2,2,2
2014-06-27,1,1,1,1,1
2014-06-28,1,1,1,1,1
2014-06-30,1,1,1,1,1
2014-07-02,2,2,2,2,2
2014-07-04,1,1,1,1,1
2014-07-05,3,3,3,3,3
2014-07-07,2,2,2,2,2
2014-07-09,1,1,1,1,1
2014-07-10,3,3,3,3,3
2014-07-11,4,4,4,4,4
2014-07-14,2,2,2,2,2
2014-07-15,1,1,1,1,1
2014-07-16,1,1,1,1,1
2014-07-17,1,1,1,1,1
2014-07-18,4,4,4,4,4
2014-07-19,1,1,1,1,1
2014-07-25,5,5,5,5,5
2014-07-28,1,1,1,1,1
2014-07-31,1,1,1,1,1
2014-08-01,3,3,3,3,3
2014-08-05,1,1,1,1,1
2014-08-07,3,3,3,3,3
2014-08-08,1,1,1,1,1
2014-08-13,4,4,4,4,4
2014-08-15,1,1,1,1,1
2014-08-19,1,1,1,1,1
2014-08-20,2,2,2,2,2
2014-08-22,3,3,3,3,3
2014-08-25,3,3,3,3,3
2014-08-26,2,2,2,2,2
2014-08-27,2,2,2,2,2
2014-08-28,1,1,1,1,1
2014-08-29,1,1,1,1,1
2014-09-01,1,1,1,1,1
2014-09-03,1,1,1,1,1
2014-09-10,1,1,1,1,1
2014-09-12,5,5,5,5,5
2014-09-17,2,2,2,2,2
2014-09-18,2,2,2,2,2
2014-09-19,1,1,1,1,1
2014-09-22,1,1,1,1,1
2014-09-23,1,1,1,1,1
2014-09-25,1,1,1,1,1
2014-09-26,3,3,3,3,3
2014-09-27,1,1,1,1,1
2014-09-30,2,2,2,2,2
2014-10-02,1,1,1,1,1
2014-10-03,2,2,2,2,2
2014-10-06,13,13,13,13,13
2014-10-08,1,1,1,1,1
2014-10-09,1,1,1,1,1
2014-10-10,2,2,2,2,2
2014-10-11,1,1,1,1,1
2014-10-14,1,1,1,1,1
2014-10-15,3,3,3,3,3
2014-10-16,1,1,1,1,1
2014-10-17,1,1,1,1,1
2014-10-18,1,1,1,1,1
2014-10-20,7,7,7,7,7
2014-10-22,3,3,3,3,3
2014-10-24,3,3,3,3,3
2014-10-30,1,1,1,1,1
2014-10-31,6,6,6,6,6
2014-11-03,1,1,1,1,1
2014-11-04,1,1,1,1,1
2014-11-05,1,1,1,1,1
2014-11-06,1,1,1,1,1
2014-11-07,1,1,1,1,1
2014-11-10,2,2,2,2,2
2014-11-11,3,3,3,3,3
2014-11-12,1,1,1,1,1
2014-11-13,1,1,1,1,1
2014-11-14,4,4,4,4,4
2014-11-17,1,1,1,1,1
2014-11-18,2,2,2,2,2
2014-11-19,2,2,2,2,2
2014-11-20,2,2,2,2,2
2014-11-21,1,1,1,1,1
2014-11-22,1,1,1,1,1
2014-11-24,4,4,4,4,4
2014-11-25,1,1,1,1,1
2014-11-27,1,1,1,1,1
2014-11-28,5,5,5,5,5
2014-12-01,1,1,1,1,1
2014-12-02,2,2,2,2,2
2014-12-04,1,1,1,1,1
2014-12-05,1,1,1,1,1
2014-12-08,2,2,2,2,2
2014-12-09,2,2,2,2,2
2014-12-10,1,1,1,1,1
2014-12-11,3,3,3,3,3
2014-12-12,5,5,5,5,5
2014-12-13,2,2,2,2,2
2014-12-18,1,1,1,1,1
2014-12-19,2,2,2,2,2
2014-12-20,3,3,3,3,3
2014-12-22,9,9,9,9,9
2014-12-23,10,10,10,10,10
2014-12-24,3,3,3,3,3
2014-12-29,2,2,2,2,2
2014-12-30,5,5,5,5,5
2014-12-31,3,3,3,3,3
2015-01-02,4,4,4,4,4
2015-01-03,1,1,1,1,1
2015-01-04,1,1,1,1,1
2015-01-05,2,2,2,2,2
2015-01-06,3,3,3,3,3
2015-01-08,2,2,2,2,2
2015-01-09,5,5,5,5,5
2015-01-10,3,3,3,3,3
2015-01-12,1,1,1,1,1
2015-01-13,3,3,3,3,3
2015-01-14,1,1,1,1,1
2015-01-15,2,2,2,2,2
2015-01-16,1,1,1,1,1
2015-01-17,3,3,3,3,3
2015-01-20,4,4,4,4,4
2015-01-21,1,1,1,1,1
2015-01-22,2,2,2,2,2
2015-01-23,3,3,3,3,3
2015-01-26,2,2,2,2,2
2015-01-28,1,1,1,1,1
2015-01-29,1,1,1,1,1
2015-01-30,4,4,4,4,4
2015-01-31,2,2,2,2,2
2015-02-02,2,2,2,2,2
2015-02-05,4,4,4,4,4
2015-02-06,1,1,1,1,1
2015-02-10,2,2,2,2,2
2015-02-11,1,1,1,1,1
2015-02-12,2,2,2,2,2
2015-02-13,2,2,2,2,2
2015-02-14,1,1,1,1,1
2015-02-16,1,1,1,1,1
2015-02-17,1,1,1,1,1
2015-02-18,1,1,1,1,1
2015-02-20,4,4,4,4,4
2015-02-21,1,1,1,1,1
2015-02-23,2,2,2,2,2
2015-02-25,2,2,2,2,2
2015-02-27,1,1,1,1,1
2015-03-02,5,5,5,5,5
2015-03-03,2,2,2,2,2
2015-03-04,1,1,1,1,1
2015-03-05,2,2,2,2,2
2015-03-06,2,2,2,2,2
2015-03-07,1,1,1,1,1
2015-03-10,3,3,3,3,3
2015-03-11,3,3,3,3,3
2015-03-13,1,1,1,1,1
2015-03-14,1,1,1,1,1
2015-03-18,1,1,1,1,1
2015-03-19,3,3,3,3,3
2015-03-20,3,3,3,3,3
2015-03-21,1,1,1,1,1
2015-03-24,1,1,1,1,1
2015-03-26,1,1,1,1,1
2015-03-27,3,3,3,3,3
2015-03-28,1,1,1,1,1
2015-03-30,9,9,9,9,9
2015-03-31,1,1,1,1,1
2015-04-01,1,1,1,1,1
2015-04-03,2,2,2,2,2
2015-04-07,4,4,4,4,4
2015-04-08,1,1,1,1,1
2015-04-09,1,1,1,1,1
2015-04-10,2,2,2,2,2
2015-04-11,1,1,1,1,1
2015-04-13,3,3,3,3,3
2015-04-14,4,4,4,4,4
2015-04-16,1,1,1,1,1
2015-04-17,1,1,1,1,1
2015-04-18,1,1,1,1,1
2015-04-21,1,1,1,1,1
2015-04-22,4,4,4,4,4
2015-04-24,3,3,3,3,3
2015-04-25,2,2,2,2,2
2015-04-28,1,1,1,1,1
2015-04-30,1,1,1,1,1
2015-05-01,3,3,3,3,3
2015-05-06,1,1,1,1,1
2015-05-07,1,1,1,1,1
2015-05-08,1,1,1,1,1
2015-05-11,2,2,2,2,2
2015-05-13,2,2,2,2,2
2015-05-15,3,3,3,3,3
2015-05-20,7,7,7,7,7
2015-05-22,1,1,1,1,1
2015-05-26,1,1,1,1,1
2015-05-27,2,2,2,2,2
2015-05-28,2,2,2,2,2
2015-05-29,5,5,5,5,5
2015-06-01,2,2,2,2,2
2015-06-02,2,2,2,2,2
2015-06-04,3,3,3,3,3
2015-06-05,4,4,4,4,4
2015-06-06,1,1,1,1,1
2015-06-08,1,1,1,1,1
2015-06-10,5,5,5,5,5
